status,input,output,error
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/Site Engineer -LE -MdAnzarAlam 9.46.28ΓÇ»AM.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/Md_CV.docx,
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._Site Engineer -LE -MdAnzarAlam 9.46.28ΓÇ»AM.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._Site Engineer -LE -MdAnzarAlam 9.46.28ΓÇ»AM.pdf'.
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._kiran_test.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._kiran_test.pdf'.
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._mahesh cv.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._mahesh cv.pdf'.
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._manjit_cv.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._manjit_cv.pdf'.
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._moin_cv.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._moin_cv.pdf'.
FAILED,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._vipin_test.pdf,,Failed to open file '/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/__MACOSX/._vipin_test.pdf'.
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/kiran_test.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/Kiran_CV.docx,
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/mahesh cv.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/MAHESH_CV.docx,
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/manjit_cv.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/manjit_CV.docx,
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/moin_cv.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/Moin_CV.docx,
SUCCESS,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/output/extracted/vipin_test.pdf,/Users/daiyabhavyan/Desktop/Virtualyyst Internship/CV_parser/outputs/VIPIN_CV.docx,
